X,CH1,CH2,
Second,Volt,Volt,
-8.76600e-04,-2.00e-01,5.12e+00,
-8.74600e-04,-2.00e-01,4.88e+00,
-8.72600e-04,2.00e-01,5.12e+00,
-8.70600e-04,-2.00e-01,4.96e+00,
-8.68600e-04,0.00e+00,7.99e-02,
-8.66600e-04,0.00e+00,2.40e-01,
-8.64600e-04,-2.00e-01,3.20e-01,
-8.62600e-04,2.00e-01,5.12e+00,
-8.60600e-04,-2.00e-01,4.88e+00,
-8.58600e-04,-2.00e-01,5.04e+00,
-8.56600e-04,4.60e+00,1.60e-01,
-8.54600e-04,-2.00e-01,2.40e-01,
-8.52600e-04,0.00e+00,7.99e-02,
-8.50600e-04,-2.00e-01,2.40e-01,
-8.48600e-04,0.00e+00,5.12e+00,
-8.46600e-04,-2.00e-01,4.88e+00,
-8.44600e-04,2.00e-01,5.20e+00,
-8.42600e-04,-2.00e-01,4.96e+00,
-8.40600e-04,0.00e+00,1.60e-01,
-8.38600e-04,2.00e-01,2.40e-01,
-8.36600e-04,-2.00e-01,-7.99e-02,
-8.34600e-04,-2.00e-01,5.28e+00,
-8.32600e-04,0.00e+00,4.88e+00,
-8.30600e-04,0.00e+00,5.04e+00,
-8.28600e-04,-2.00e-01,1.60e-01,
-8.26600e-04,-2.00e-01,2.40e-01,
-8.24600e-04,2.00e-01,-1.60e-01,
-8.22600e-04,-2.00e-01,2.40e-01,
-8.20600e-04,4.60e+00,5.44e+00,
-8.18600e-04,4.60e+00,4.96e+00,
-8.16600e-04,-4.00e-01,5.12e+00,
-8.14600e-04,-2.00e-01,4.96e+00,
-8.12600e-04,2.00e-01,7.99e-02,
-8.10600e-04,-2.00e-01,2.40e-01,
-8.08600e-04,2.00e-01,1.60e-01,
-8.06600e-04,-2.00e-01,5.28e+00,
-8.04600e-04,4.80e+00,4.88e+00,
-8.02600e-04,-4.00e-01,5.20e+00,
-8.00600e-04,2.00e-01,1.60e-01,
-7.98600e-04,-2.00e-01,1.60e-01,
-7.96600e-04,2.00e-01,1.92e+00,
-7.94600e-04,0.00e+00,2.40e-01,
-7.92600e-04,-6.00e-01,5.84e+00,
-7.90600e-04,-2.00e-01,4.88e+00,
-7.88600e-04,2.00e-01,5.12e+00,
-7.86600e-04,-2.00e-01,5.12e+00,
-7.84600e-04,2.00e-01,7.99e-02,
-7.82600e-04,0.00e+00,1.60e-01,
-7.80600e-04,-2.00e-01,3.20e-01,
-7.78600e-04,6.00e-01,6.24e+00,
-7.76600e-04,-2.00e-01,4.88e+00,
-7.74600e-04,2.00e-01,5.04e+00,
-7.72600e-04,-2.00e-01,-1.60e-01,
-7.70600e-04,-2.00e-01,-7.99e-02,
-7.68600e-04,2.00e-01,4.80e-01,
-7.66600e-04,-2.00e-01,1.60e-01,
-7.64600e-04,2.00e-01,5.12e+00,
-7.62600e-04,-2.00e-01,4.88e+00,
-7.60600e-04,2.00e-01,5.20e+00,
-7.58600e-04,-2.00e-01,4.96e+00,
-7.56600e-04,4.60e+00,1.60e-01,
-7.54600e-04,4.60e+00,2.40e-01,
-7.52600e-04,-2.00e-01,1.60e-01,
-7.50600e-04,-2.00e-01,2.40e-01,
-7.48600e-04,0.00e+00,5.12e+00,
-7.46600e-04,-2.00e-01,5.12e+00,
-7.44600e-04,2.00e-01,1.60e-01,
-7.42600e-04,-2.00e-01,1.60e-01,
-7.40600e-04,0.00e+00,2.40e-01,
-7.38600e-04,-2.00e-01,2.40e-01,
-7.36600e-04,0.00e+00,5.12e+00,
-7.34600e-04,0.00e+00,4.88e+00,
-7.32600e-04,-2.00e-01,5.20e+00,
-7.30600e-04,-2.00e-01,4.96e+00,
-7.28600e-04,2.00e-01,1.60e-01,
-7.26600e-04,-2.00e-01,2.40e-01,
-7.24600e-04,2.00e-01,0.00e+00,
-7.22600e-04,-2.00e-01,2.40e-01,
-7.20600e-04,4.00e-01,5.92e+00,
-7.18600e-04,4.60e+00,5.12e+00,
-7.16600e-04,-4.00e-01,-7.99e-02,
-7.14600e-04,-2.00e-01,1.60e-01,
-7.12600e-04,0.00e+00,3.20e-01,
-7.10600e-04,-2.00e-01,2.40e-01,
-7.08600e-04,2.00e-01,5.44e+00,
-7.06600e-04,-2.00e-01,4.88e+00,
-7.04600e-04,4.60e+00,5.12e+00,
-7.02600e-04,-2.00e-01,4.96e+00,
-7.00600e-04,0.00e+00,-7.99e-02,
-6.98600e-04,-2.00e-01,2.40e-01,
-6.96600e-04,2.00e-01,-3.20e-01,
-6.94600e-04,0.00e+00,2.40e-01,
-6.92600e-04,-2.00e-01,5.20e+00,
-6.90600e-04,0.00e+00,5.12e+00,
-6.88600e-04,-2.00e-01,1.60e-01,
-6.86600e-04,-2.00e-01,3.20e-01,
-6.84600e-04,2.00e-01,-7.99e-02,
-6.82600e-04,0.00e+00,2.40e-01,
-6.80600e-04,-2.00e-01,5.12e+00,
-6.78600e-04,-2.00e-01,4.96e+00,
-6.76600e-04,2.00e-01,5.12e+00,
-6.74600e-04,-2.00e-01,4.96e+00,
-6.72600e-04,2.00e-01,1.60e-01,
-6.70600e-04,0.00e+00,1.60e-01,
-6.68600e-04,-2.00e-01,4.80e-01,
-6.66600e-04,2.00e-01,5.36e+00,
-6.64600e-04,-2.00e-01,4.88e+00,
-6.62600e-04,0.00e+00,5.12e+00,
-6.60600e-04,-4.00e-01,0.00e+00,
-6.58600e-04,-2.00e-01,4.00e-01,
-6.56600e-04,0.00e+00,7.99e-02,
-6.54600e-04,4.60e+00,2.40e-01,
-6.52600e-04,-4.00e-01,5.12e+00,
-6.50600e-04,0.00e+00,4.88e+00,
-6.48600e-04,-2.00e-01,5.12e+00,
-6.46600e-04,-2.00e-01,4.96e+00,
-6.44600e-04,2.00e-01,7.99e-02,
-6.42600e-04,-2.00e-01,7.99e-02,
-6.40600e-04,0.00e+00,5.28e+00,
-6.38600e-04,-2.00e-01,5.12e+00,
-6.36600e-04,2.00e-01,4.88e+00,
-6.34600e-04,0.00e+00,5.04e+00,
-6.32600e-04,-2.00e-01,1.60e-01,
-6.30600e-04,-2.00e-01,0.00e+00,
-6.28600e-04,0.00e+00,3.20e-01,
-6.26600e-04,-2.00e-01,2.40e-01,
-6.24600e-04,8.00e-01,5.92e+00,
-6.22600e-04,-2.00e-01,4.88e+00,
-6.20600e-04,2.00e-01,5.60e+00,
-6.18600e-04,-2.00e-01,4.96e+00,
-6.16600e-04,4.60e+00,1.60e-01,
-6.14600e-04,-2.00e-01,-2.40e-01,
-6.12600e-04,0.00e+00,5.12e+00,
-6.10600e-04,-2.00e-01,4.88e+00,
-6.08600e-04,2.00e-01,5.12e+00,
-6.06600e-04,-2.00e-01,5.04e+00,
-6.04600e-04,4.60e+00,1.60e-01,
-6.02600e-04,4.60e+00,1.60e-01,
-6.00600e-04,-2.00e-01,4.00e-01,
-5.98600e-04,-2.00e-01,2.40e-01,
-5.96600e-04,2.00e-01,5.20e+00,
-5.94600e-04,-2.00e-01,4.88e+00,
-5.92600e-04,2.00e-01,5.04e+00,
-5.90600e-04,-6.00e-01,4.96e+00,
-5.88600e-04,2.00e-01,-4.80e-01,
-5.86600e-04,-2.00e-01,2.40e-01,
-5.84600e-04,2.00e-01,5.04e+00,
-5.82600e-04,0.00e+00,4.88e+00,
-5.80600e-04,-2.00e-01,5.12e+00,
-5.78600e-04,-2.00e-01,4.96e+00,
-5.76600e-04,0.00e+00,1.60e-01,
-5.74600e-04,0.00e+00,2.40e-01,
-5.72600e-04,-2.00e-01,1.60e-01,
-5.70600e-04,-2.00e-01,2.40e-01,
-5.68600e-04,6.00e-01,5.28e+00,
-5.66600e-04,-2.00e-01,4.88e+00,
-5.64600e-04,4.00e-01,5.60e+00,
-5.62600e-04,-2.00e-01,4.88e+00,
-5.60600e-04,0.00e+00,-1.60e-01,
-5.58600e-04,0.00e+00,2.40e-01,
-5.56600e-04,-2.00e-01,5.20e+00,
-5.54600e-04,-2.00e-01,4.88e+00,
-5.52600e-04,4.80e+00,5.20e+00,
-5.50600e-04,-2.00e-01,4.96e+00,
-5.48600e-04,2.00e-01,1.60e-01,
-5.46600e-04,0.00e+00,2.40e-01,
-5.44600e-04,-2.00e-01,4.00e-01,
-5.42600e-04,-2.00e-01,2.40e-01,
-5.40600e-04,2.00e-01,5.20e+00,
-5.38600e-04,0.00e+00,5.20e+00,
-5.36600e-04,-2.00e-01,1.04e+00,
-5.34600e-04,-2.00e-01,2.40e-01,
-5.32600e-04,2.00e-01,7.99e-02,
-5.30600e-04,0.00e+00,2.40e-01,
-5.28600e-04,-2.00e-01,5.20e+00,
